iter	Passed	Remaining
0	1	110
1	2	101
2	2	96
3	3	89
4	4	89
5	5	88
6	6	87
7	7	87
8	8	86
9	9	85
10	10	84
11	11	83
12	12	82
13	13	82
14	14	81
15	15	79
16	16	78
17	17	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	65
31	30	64
32	31	63
33	32	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	47
49	46	46
50	46	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	66	24
73	67	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
