iter	Passed	Remaining
0	168	168143
1	171	85599
2	174	58085
3	180	44854
4	185	36862
5	189	31375
6	193	27455
7	198	24570
8	202	22248
9	206	20452
10	211	18973
11	216	17803
12	221	16827
13	225	15916
14	229	15086
15	234	14392
16	239	13863
17	243	13304
18	248	12807
19	252	12391
20	257	11999
21	261	11606
22	265	11278
23	269	10967
24	273	10668
25	277	10399
26	281	10151
27	285	9903
28	288	9664
29	292	9453
30	296	9263
31	299	9067
32	303	8883
33	306	8709
34	311	8575
35	314	8422
36	317	8275
37	321	8144
38	325	8023
39	328	7894
40	332	7773
41	337	7698
42	342	7611
43	346	7520
44	351	7456
45	355	7370
46	359	7286
47	363	7202
48	367	7134
49	371	7060
50	375	6991
51	381	6955
52	385	6887
53	389	6817
54	392	6752
55	397	6703
56	401	6636
57	404	6577
58	408	6522
59	414	6494
60	418	6438
61	421	6384
62	426	6337
63	429	6288
64	433	6241
65	437	6195
66	443	6179
67	448	6144
68	452	6101
69	456	6067
70	461	6036
71	465	6002
72	469	5966
73	475	5946
74	479	5912
75	483	5874
76	486	5837
77	491	5805
78	495	5772
79	499	5738
80	504	5718
81	508	5693
82	510	5643
83	515	5619
84	519	5591
85	521	5544
86	524	5503
87	526	5453
88	528	5404
89	529	5357
90	532	5319
91	534	5274
92	536	5229
93	537	5183
94	539	5140
95	541	5099
96	543	5060
97	545	5019
98	547	4984
99	549	4947
100	551	4908
101	553	4872
102	555	4834
103	556	4797
104	558	4760
105	560	4723
106	562	4694
107	564	4663
108	567	4637
109	569	4605
110	571	4573
111	572	4541
112	574	4508
113	576	4478
114	578	4452
115	580	4425
116	582	4393
117	584	4365
118	585	4337
119	587	4307
120	589	4281
121	590	4251
122	593	4228
123	595	4206
124	597	4184
125	599	4158
126	601	4131
127	602	4107
128	604	4082
129	606	4058
130	608	4038
131	611	4018
132	612	3995
133	614	3972
134	616	3947
135	617	3924
136	619	3901
137	620	3878
138	623	3859
139	625	3839
140	626	3818
141	627	3792
142	629	3769
143	630	3749
144	632	3729
145	634	3708
146	635	3688
147	638	3673
148	640	3657
149	642	3639
150	643	3620
151	645	3602
